feature,mutual_information_score
Var217,0.14365686714060943
Var202,0.11344445820912057
Var214,0.102068455376578
Var200,0.102068455376578
Var199,0.06923295559333692
Var222,0.0685874653629341
Var198,0.0685874653629341
Var220,0.0685874653629341
Var216,0.035587855416229136
Var192,0.018526005474135174
Var126,0.01055740412899353
Var73,0.009561731097860404
Var197,0.008230780674414497
Var162,0.007228909008603512
Var171,0.0067282206789684995
Var13,0.006481406200812945
Var188,0.006468087026501479
Var28,0.006389427075704779
Var56,0.006141825173079152
Var111,0.0060392865016851704
